,Source,source_pathways
604,Q9UHF4,JAK/STAT(core)
605,Q9UHF4,JAK/STAT(core)
606,Q9UHF4,JAK/STAT(core)
607,Q9UHF4,JAK/STAT(core)
608,Q9UHF4,JAK/STAT(core)
610,Q6UWB1,JAK/STAT(core)
618,Q9NYJ7,Notch(non-core)
631,P46531,"Notch(core),WNT/Wingless(core)"
632,P46531,"Notch(core),WNT/Wingless(core)"
633,P46531,"Notch(core),WNT/Wingless(core)"
634,P46531,"Notch(core),WNT/Wingless(core)"
635,P46531,"Notch(core),WNT/Wingless(core)"
640,P06213,RTK(core)
654,O00548,Notch(core)
655,P46531,"Notch(core),WNT/Wingless(core)"
656,P46531,"Notch(core),WNT/Wingless(core)"
659,P46531,"Notch(core),WNT/Wingless(core)"
661,P40189,JAK/STAT(core)
665,P15260,JAK/STAT(core)
674,P36897,"RTK(core),TGF(core)"
676,P37173,"RTK(core),TGF(core)"
693,P16234,RTK(core)
694,P16234,RTK(core)
695,P16234,RTK(core)
696,P16234,RTK(core)
697,P09619,RTK(core)
699,P16234,RTK(core)
700,P16234,RTK(core)
701,P11362,RTK(core)
702,P21802,RTK(core)
703,P21802,RTK(core)
704,P21802,RTK(core)
705,P21802,RTK(core)
706,P21802,RTK(core)
707,P21802,RTK(core)
709,P21802,RTK(core)
711,P17948,"RTK(non-core),JAK/STAT(core)"
715,P21709,RTK(core)
716,P29317,RTK(core)
717,P54756,RTK(core)
718,P54753,RTK(core)
719,Q9UF33,RTK(core)
720,Q9UF33,RTK(core)
721,Q9UF33,RTK(core)
722,Q9UF33,RTK(core)
723,Q9UF33,RTK(core)
724,Q15375,RTK(core)
725,P29322,RTK(core)
726,P54764,RTK(core)
727,P54764,RTK(core)
728,P29317,RTK(core)
729,P29320,RTK(core)
730,P29320,RTK(core)
731,P54756,RTK(core)
732,P54760,RTK(core)
738,Q02763,RTK(core)
739,Q02763,RTK(core)
740,Q02763,RTK(core)
742,O15146,RTK(core)
743,O15146,RTK(core)
744,P34925,"RTK(core),WNT/Wingless(core)"
746,P30530,RTK(core)
747,Q12866,RTK(core)
750,P07949,RTK(core)
766,P03372,"NHR(core),TGF(non-core)"
767,P03372,"NHR(core),TGF(non-core)"
785,P03372,"NHR(core),TGF(non-core)"
790,P03372,"NHR(core),TGF(non-core)"
814,P03372,"NHR(core),TGF(non-core)"
815,P03372,"NHR(core),TGF(non-core)"
